iter	Passed	Remaining
780	917	257
781	918	256
782	919	254
783	920	253
784	922	252
785	922	251
786	923	250
787	924	248
788	926	247
789	927	246
790	928	245
791	928	243
792	929	242
793	930	241
794	930	240
795	932	238
796	933	237
797	934	236
798	935	235
799	935	233
800	936	232
801	937	231
802	938	230
803	939	229
804	940	227
805	940	226
806	941	225
807	942	223
808	942	222
809	946	221
810	946	220
811	947	219
812	948	218
813	949	216
814	950	215
815	952	214
816	953	213
817	954	212
818	955	211
819	957	210
820	958	209
821	959	207
822	960	206
823	961	205
824	964	204
825	966	203
826	967	202
827	967	201
828	971	200
829	972	199
830	973	197
831	973	196
832	976	195
833	978	194
834	979	193
835	980	192
836	983	191
837	984	190
838	985	189
839	985	187
840	986	186
841	986	185
842	989	184
843	990	183
844	991	181
845	991	180
846	992	179
847	992	177
848	995	177
849	996	175
850	997	174
851	998	173
852	999	172
853	1001	171
854	1002	170
855	1003	168
856	1003	167
857	1004	166
858	1005	165
859	1008	164
860	1009	163
861	1010	161
862	1011	160
863	1013	159
864	1015	158
865	1016	157
866	1016	155
867	1017	154
868	1018	153
869	1021	152
870	1022	151
871	1023	150
872	1023	148
873	1024	147
874	1027	146
875	1028	145
876	1029	144
877	1030	143
878	1031	141
879	1032	140
880	1033	139
881	1034	138
882	1034	137
883	1035	135
884	1036	134
885	1036	133
886	1037	132
887	1040	131
888	1041	130
889	1043	128
890	1044	127
891	1044	126
892	1045	125
893	1046	124
894	1047	122
895	1047	121
896	1049	120
897	1050	119
898	1051	118
899	1051	116
900	1052	115
901	1053	114
902	1054	113
903	1055	112
904	1056	110
905	1057	109
906	1057	108
907	1058	107
908	1058	106
909	1059	104
910	1060	103
911	1061	102
912	1062	101
913	1063	100
914	1063	98
915	1064	97
916	1064	96
917	1065	95
918	1066	93
919	1067	92
920	1068	91
921	1069	90
922	1070	89
923	1071	88
924	1072	86
925	1074	85
926	1075	84
927	1076	83
928	1076	82
929	1077	81
930	1078	79
931	1080	78
932	1081	77
933	1082	76
934	1083	75
935	1084	74
936	1086	73
937	1087	71
938	1087	70
939	1088	69
940	1089	68
941	1089	67
942	1090	65
943	1091	64
944	1092	63
945	1093	62
946	1093	61
947	1094	60
948	1095	58
949	1095	57
950	1096	56
951	1096	55
952	1098	54
953	1099	53
954	1100	51
955	1101	50
956	1102	49
957	1102	48
958	1105	47
959	1106	46
960	1106	44
961	1107	43
962	1108	42
963	1108	41
964	1109	40
965	1111	39
966	1112	37
967	1113	36
968	1114	35
969	1115	34
970	1117	33
971	1117	32
972	1118	31
973	1119	29
974	1120	28
975	1121	27
976	1122	26
977	1123	25
978	1124	24
979	1125	22
980	1126	21
981	1128	20
982	1129	19
983	1129	18
984	1130	17
985	1131	16
986	1131	14
987	1132	13
988	1133	12
989	1134	11
990	1135	10
991	1135	9
992	1136	8
993	1137	6
994	1137	5
995	1138	4
996	1138	3
997	1141	2
998	1142	1
999	1143	0
